27,61,49,69,58,44,2,29,39,10
65,22,99,75,72,29,38,82,80,66
27,95,96,34,14,42,40,60,50,93
58,73,96,88,51,32,1,40,19,85
69,52,10,51,73,47,22,84,36,8
39,57,46,20,17,67,10,77,90,99
7,25,29,75,24,19,78,77,18,8
14,82,46,78,3,64,62,69,92,6
53,43,10,8,47,41,67,95,90,11
72,45,30,67,14,98,15,27,62,66
45,3,18,55,42,83,79,37,30,49
94,10,20,82,41,84,40,71,33,3
5,27,33,28,51,14,99,68,38,65
94,37,74,54,72,20,22,53,70,59
6,7,59,98,17,34,15,97,72,45
35,27,20,21,94,40,80,4,53,34
3,48,35,96,80,15,54,16,67,92
34,59,22,95,30,44,91,57,78,53
31,19,44,79,94,29,18,90,3,54
37,33,5,55,69,42,96,91,50,49
23,95,53,13,56,62,76,64,98,63
70,84,58,75,23,68,35,39,31,22
61,4,42,33,21,94,67,86,91,66
1,31,21,84,98,51,2,6,86,53
54,19,59,74,58,36,46,39,31,27
83,26,43,71,24,22,93,94,10,6
47,73,50,11,5,55,46,97,8,84
60,6,84,1,90,4,45,25,44,30
65,16,91,46,52,7,1,41,49,32
94,63,59,54,49,17,68,84,91,64
34,6,27,31,92,2,25,13,5,83
3,67,34,83,26,14,47,32,42,15
65,88,76,95,94,71,22,99,66,60
50,25,13,64,95,62,24,5,7,85
33,11,79,32,91,86,12,39,5,71
48,60,23,73,91,80,17,57,12,85
64,82,14,98,90,74,57,60,54,45
25,18,35,45,98,72,47,83,64,16
88,36,73,50,12,61,8,4,45,53
15,60,33,4,31,87,54,13,18,47
96,67,69,23,6,24,77,81,32,13
93,53,56,41,39,13,54,20,96,66
49,29,51,42,62,46,44,65,92,47
68,21,97,69,99,31,67,5,7,88
57,39,86,33,23,96,69,46,40,83
64,3,77,80,20,63,30,99,26,85
94,44,75,30,86,26,45,69,89,38
53,35,32,39,21,17,95,79,76,5
23,7,72,99,49,95,63,20,44,88
85,34,33,69,60,87,99,51,71,14
59,26,52,31,47,96,25,36,63,67
21,80,84,6,95,8,98,4,91,55
30,40,10,21,29,58,31,85,2,61
2,5,33,40,32,27,36,61,89,13
95,33,11,78,50,89,27,4,35,32
11,2,50,52,4,38,60,78,68,26
35,87,26,17,27,58,99,75,79,90
25,60,78,79,27,86,77,3,37,75
53,93,58,1,28,27,64,34,76,20
5,23,68,9,38,12,10,97,70,82
39,98,85,63,87,5,91,61,57,74
62,85,77,98,66,84,69,16,24,83
54,56,39,78,46,26,36,65,61,33
8,97,74,12,13,83,23,6,40,69
29,38,74,28,88,34,8,1,44,73
19,86,49,80,95,54,1,41,24,77
14,10,60,4,5,77,82,94,9,24
27,70,37,12,51,73,99,47,33,32
90,69,60,85,34,56,72,16,20,35
23,98,49,33,51,58,47,7,70,32
70,84,44,96,76,49,34,93,87,14
77,48,90,12,62,14,73,51,7,10
89,29,6,91,49,99,2,27,75,36
38,74,32,85,47,41,87,59,61,73
1,41,81,26,87,15,63,16,83,67
62,94,6,8,2,40,43,42,46,53
17,15,62,90,77,30,5,97,59,10
14,27,34,77,78,25,94,93,70,80
87,22,38,56,58,10,94,19,68,83
53,88,71,44,3,43,64,93,83,37
49,78,31,83,35,16,46,43,25,12
80,17,56,49,97,9,94,2,53,65
8,64,56,30,93,73,40,7,27,24
50,4,99,75,59,57,96,61,46,6
14,82,80,7,4,59,31,15,21,23
99,17,2,89,42,19,3,94,4,12
43,60,77,76,78,19,51,99,39,57
24,22,59,84,72,98,92,75,52,82
79,5,64,69,73,95,74,49,56,47
67,63,84,5,13,81,38,78,9,2
39,72,25,54,90,11,79,42,4,14
46,70,28,3,20,9,45,32,77,14
81,59,32,19,80,13,78,70,65,38
86,53,49,85,95,70,27,32,4,24
59,99,76,63,47,4,8,67,23,96
82,97,72,34,28,52,78,80,20,92
34,76,39,38,23,51,55,25,40,22
66,42,1,45,92,32,71,88,5,82
12,2,77,94,59,98,95,10,39,32
22,96,56,41,90,47,29,58,87,32
1,23,74,4,72,26,75,68,89,83
75,14,28,46,23,36,68,71,70,98
65,33,61,53,51,29,26,83,19,18
51,87,57,78,60,94,82,12,88,11
17,55,95,42,16,52,72,9,79,59
44,91,36,94,24,31,83,50,70,52
45,48,58,26,5,2,35,63,78,70
18,4,63,24,83,40,16,48,21,26
36,46,49,57,83,68,45,30,1,58
58,2,71,72,92,91,75,4,19,81
3,78,14,85,53,1,2,32,59,10
61,37,90,17,55,94,89,87,5,39
73,76,33,37,82,79,56,22,57,6
11,54,66,70,60,78,89,94,80,96
45,5,33,12,63,95,27,42,1,84
5,77,89,65,52,69,32,63,23,85
64,80,98,39,45,11,40,22,49,55
44,61,75,42,48,66,36,88,9,54
82,29,59,20,19,18,66,28,23,49
61,40,26,25,4,42,19,76,51,22
97,31,11,71,90,96,84,76,53,8
29,65,38,48,52,55,3,32,35,95
4,91,26,38,36,83,60,72,19,56
16,17,73,87,56,22,10,44,92,58
37,77,17,70,18,59,65,81,48,15
30,34,31,37,3,7,10,8,45,25
3,31,15,35,26,88,75,82,77,68
9,72,20,10,14,95,86,50,85,82
73,72,68,95,79,76,69,24,1,98
30,80,40,86,26,36,75,44,41,57
22,20,60,75,26,57,33,88,74,38
49,65,86,52,33,67,8,83,61,3
91,17,74,21,23,47,9,57,82,35
47,26,41,16,61,76,72,98,24,93
23,13,58,83,99,69,93,33,10,37
1,36,37,12,22,19,42,56,98,17
81,73,66,58,28,36,27,19,67,4
30,89,31,51,9,63,81,38,91,14
7,22,84,59,50,53,73,13,97,26
93,88,6,10,70,26,9,98,29,73
12,6,9,54,93,16,99,71,36,11
23,50,74,59,27,44,9,24,48,97
79,37,21,69,97,74,33,16,39,83
92,31,18,6,70,10,93,56,95,43
14,42,45,75,62,1,47,66,31,23
22,80,81,31,45,84,91,69,47,66
83,67,45,87,14,75,29,97,64,94
90,42,32,81,64,66,88,60,97,7
26,62,65,96,74,6,48,61,91,83
14,58,89,56,74,82,75,60,17,29
24,33,68,94,57,59,46,17,84,80
69,58,62,31,16,20,40,98,96,64
43,50,22,2,47,75,76,56,26,80
10,79,52,43,44,26,55,6,73,88
69,40,90,61,59,70,77,50,31,15
65,28,6,23,17,62,13,37,86,73
52,34,98,50,56,69,68,45,20,11
12,52,92,10,96,84,2,24,14,51
85,42,96,78,39,75,21,50,14,20
67,59,62,15,26,85,53,79,42,63
38,4,97,98,20,55,51,64,80,53
41,19,60,53,94,79,1,77,63,47
33,83,82,29,51,57,63,88,66,74
1,34,54,15,24,97,8,96,73,26
75,92,74,11,5,1,91,36,32,24
22,87,29,9,56,32,96,28,61,71
60,89,56,55,84,30,95,86,11,79
59,90,46,84,16,39,34,88,81,83
40,31,62,10,36,69,84,23,95,98
11,57,4,84,3,28,89,37,50,23
37,47,28,12,74,3,96,26,95,22
81,58,92,24,61,10,29,77,93,68
4,79,39,55,62,88,18,87,24,96
15,69,50,70,4,98,73,68,46,22
29,61,14,30,9,23,7,31,60,49
36,3,35,86,6,93,47,25,79,48
89,81,54,66,51,77,61,11,42,39
56,34,78,53,2,7,97,88,27,16
63,98,17,49,6,40,18,8,82,25
56,80,35,88,2,24,98,66,71,76
6,31,42,96,19,4,68,28,58,99
